================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 10:20:52
 CSV Telemetry File : logs/telemetry_2026-08-09_10-20-52.csv
 Text System Log File: logs/system_run_2026-08-09_10-20-52.log
================================================================================
[10:20:52.536] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[10:20:55.326] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [NO_FIX])
[10:20:56.565] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.44m,  0.00m) | Conf: 0.33 | GPS: (10.775671°, 106.670877° [FIX])
[10:20:57.821] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.89m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[10:20:59.069] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.37m, -0.00m) | Conf: 0.62 | GPS: (10.775671°, 106.670881° [FIX])
[10:21:00.336] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 1.83m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670884° [FIX])
[10:21:01.577] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 2.31m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[10:21:02.892] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.79m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[10:21:04.143] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 3.27m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[10:21:05.336] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.74m, -0.00m) | Conf: 0.56 | GPS: (10.775671°, 106.670892° [FIX])
[10:21:06.572] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.06r/s) | Pose: ( 4.21m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[10:21:07.829] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.69m, -0.00m) | Conf: 0.94 | GPS: (10.775671°, 106.670896° [FIX])
