================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 00:32:39
 CSV Telemetry File : logs/telemetry_2026-08-09_00-32-39.csv
 Text System Log File: logs/system_run_2026-08-09_00-32-39.log
================================================================================
[00:32:39.700] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[00:33:11.853] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +39.27° (R) | Vel: (0.34m/s, -0.48r/s) | Pose: (11.39m,  0.00m) | Conf: 0.00 | GPS: (10.775672°, 106.670928° [FIX])
[00:33:13.051] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +40.74° (R) | Vel: (0.34m/s, -0.51r/s) | Pose: (11.40m, -0.34m) | Conf: 0.00 | GPS: (10.775671°, 106.670929° [FIX])
[00:33:14.240] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +47.54° (R) | Vel: (0.34m/s, -0.64r/s) | Pose: (11.22m, -0.62m) | Conf: 0.00 | GPS: (10.775670°, 106.670930° [FIX])
[00:33:15.502] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +16.09° (R) | Vel: (0.35m/s, -0.17r/s) | Pose: (10.88m, -0.74m) | Conf: 0.00 | GPS: (10.775668°, 106.670931° [FIX])
[00:33:16.702] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +4.53° (R) | Vel: (0.35m/s, -0.05r/s) | Pose: (10.52m, -0.78m) | Conf: 0.00 | GPS: (10.775667°, 106.670932° [FIX])
[00:33:17.934] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +1.39° (R) | Vel: (0.35m/s, -0.01r/s) | Pose: (10.15m, -0.79m) | Conf: 0.00 | GPS: (10.775666°, 106.670933° [FIX])
[00:33:19.107] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.35° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 9.80m, -0.80m) | Conf: 0.00 | GPS: (10.775664°, 106.670934° [FIX])
[00:33:20.340] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.17° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 9.43m, -0.80m) | Conf: 0.00 | GPS: (10.775663°, 106.670934° [FIX])
[00:33:21.582] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.04° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 9.06m, -0.80m) | Conf: 0.00 | GPS: (10.775661°, 106.670935° [FIX])
[00:33:22.814] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.01° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 8.69m, -0.80m) | Conf: 0.00 | GPS: (10.775660°, 106.670936° [FIX])
[00:33:24.080] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 8.32m, -0.80m) | Conf: 0.00 | GPS: (10.775658°, 106.670937° [FIX])
[00:33:25.297] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 7.95m, -0.80m) | Conf: 0.00 | GPS: (10.775656°, 106.670938° [FIX])
[00:33:26.537] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 7.58m, -0.80m) | Conf: 0.00 | GPS: (10.775655°, 106.670938° [FIX])
