================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-08 14:39:06
 CSV Telemetry File : logs/telemetry_2026-08-08_14-39-06.csv
 Text System Log File: logs/system_run_2026-08-08_14-39-06.log
================================================================================
[14:39:06.689] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[14:39:09.230] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-1.50m,  0.40m) | Conf: 0.00 | GPS: (10.775671°, 106.670875° [FIX])
[14:39:10.352] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-1.29m,  0.40m) | Conf: 0.33 | GPS: (10.775671°, 106.670877° [FIX])
[14:39:11.519] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-1.04m,  0.40m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[14:39:12.671] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.01r/s) | Pose: (-0.82m,  0.40m) | Conf: 0.67 | GPS: (10.775671°, 106.670882° [FIX])
[14:39:13.876] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: (-0.58m,  0.40m) | Conf: 1.00 | GPS: (10.775671°, 106.670884° [FIX])
[14:39:15.026] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.01r/s) | Pose: (-0.34m,  0.40m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[14:39:16.150] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.11m,  0.40m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[14:39:17.307] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.12m,  0.40m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[14:39:18.456] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.36m,  0.40m) | Conf: 0.71 | GPS: (10.775671°, 106.670892° [FIX])
[14:39:19.607] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.60m,  0.40m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[14:39:20.777] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.84m,  0.40m) | Conf: 0.92 | GPS: (10.775671°, 106.670896° [FIX])
