================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 12:41:01
 CSV Telemetry File : logs/telemetry_2026-08-09_12-41-01.csv
 Text System Log File: logs/system_run_2026-08-09_12-41-01.log
================================================================================
[12:41:01.168] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[12:41:35.654] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +74.66° (R) | Vel: (0.22m/s, -1.38r/s) | Pose: (10.99m, -0.18m) | Conf: 0.00 | GPS: (10.775671°, 106.670926° [FIX])
[12:41:36.867] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +54.01° (R) | Vel: (0.22m/s, -0.52r/s) | Pose: (10.80m, -0.31m) | Conf: 0.00 | GPS: (10.775670°, 106.670927° [FIX])
[12:41:38.127] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +19.57° (R) | Vel: (0.22m/s, -0.13r/s) | Pose: (10.57m, -0.36m) | Conf: 0.00 | GPS: (10.775669°, 106.670928° [FIX])
[12:41:39.388] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +13.41° (R) | Vel: (0.22m/s, -0.09r/s) | Pose: (10.34m, -0.38m) | Conf: 0.00 | GPS: (10.775668°, 106.670928° [FIX])
[12:41:40.592] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +7.23° (R) | Vel: (0.22m/s, -0.05r/s) | Pose: (10.11m, -0.39m) | Conf: 0.00 | GPS: (10.775667°, 106.670929° [FIX])
[12:41:41.865] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +2.73° (R) | Vel: (0.22m/s, -0.02r/s) | Pose: ( 9.88m, -0.40m) | Conf: 0.00 | GPS: (10.775666°, 106.670929° [FIX])
[12:41:43.096] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +1.40° (R) | Vel: (0.22m/s, -0.01r/s) | Pose: ( 9.65m, -0.40m) | Conf: 0.00 | GPS: (10.775665°, 106.670930° [FIX])
[12:41:44.265] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.74° (R) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 9.43m, -0.40m) | Conf: 0.00 | GPS: (10.775664°, 106.670930° [FIX])
[12:41:45.485] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.31° (R) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 9.20m, -0.40m) | Conf: 0.00 | GPS: (10.775664°, 106.670931° [FIX])
[12:41:46.725] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 8.96m, -0.40m) | Conf: 0.00 | GPS: (10.775663°, 106.670931° [FIX])
[12:41:48.010] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 8.73m, -0.40m) | Conf: 0.00 | GPS: (10.775662°, 106.670931° [FIX])
[12:41:49.242] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 8.50m, -0.40m) | Conf: 0.00 | GPS: (10.775661°, 106.670932° [FIX])
[12:41:50.442] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 8.28m, -0.40m) | Conf: 0.00 | GPS: (10.775660°, 106.670932° [FIX])
[12:41:51.672] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 8.05m, -0.40m) | Conf: 0.00 | GPS: (10.775659°, 106.670933° [FIX])
[12:41:52.955] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 7.82m, -0.40m) | Conf: 0.00 | GPS: (10.775658°, 106.670933° [FIX])
[12:41:54.154] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.22m/s, -0.00r/s) | Pose: ( 7.60m, -0.40m) | Conf: 0.00 | GPS: (10.775657°, 106.670934° [FIX])
[12:41:54.932] [FSM_TRANSITION ] PATH_FOLLOWING -> TRACKING
[12:41:55.474] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 7.29m, -0.40m) | Conf: 0.00 | GPS: (10.775656°, 106.670934° [FIX])
[12:41:56.682] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.82m, -0.40m) | Conf: 0.00 | GPS: (10.775654°, 106.670935° [FIX])
