================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 00:50:20
 CSV Telemetry File : logs/telemetry_2026-08-09_00-50-20.csv
 Text System Log File: logs/system_run_2026-08-09_00-50-20.log
================================================================================
[00:50:20.159] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[00:50:20.277] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[00:50:21.528] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.46m,  0.00m) | Conf: 0.40 | GPS: (10.775671°, 106.670877° [FIX])
[00:50:22.780] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.93m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[00:50:24.004] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.41m,  0.00m) | Conf: 0.75 | GPS: (10.775671°, 106.670882° [FIX])
[00:50:25.154] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.86m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670884° [FIX])
[00:50:26.401] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.04r/s) | Pose: ( 2.34m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[00:50:27.628] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.81m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[00:50:28.832] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.28m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[00:50:30.153] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.04° (R) | Vel: (0.45m/s, -0.04r/s) | Pose: ( 3.76m, -0.00m) | Conf: 0.60 | GPS: (10.775671°, 106.670892° [FIX])
[00:50:32.364] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.23m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[00:50:34.864] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.69m, -0.00m) | Conf: 0.92 | GPS: (10.775671°, 106.670896° [FIX])
