Time,Unix_Timestamp,FSM_State,Pos_X_m,Pos_Y_m,Yaw_rad,Steer_Angle_deg,Linear_Vel_mps,Angular_Vel_radps,IMU_Yaw_rad,IMU_Angular_Vel_z,IMU_Accel_x,Confidence,Dist_Traveled_m,GPS_Latitude,GPS_Longitude,GPS_Altitude_m,GPS_DMS,GPS_Status,Event
23:59:28.026,1786208368.027,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77566700,106.67088900,10.00,"10°46'32.40""N, 106°40'15.20""E",NO_FIX,
23:59:28.041,1786208368.042,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77566700,106.67088900,10.00,"10°46'32.40""N, 106°40'15.20""E",NO_FIX,
23:59:28.068,1786208368.069,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77566700,106.67088900,10.00,"10°46'32.40""N, 106°40'15.20""E",ODOM_ESTIMATED,
23:59:28.203,1786208368.203,TRACKING,0.036,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.04,10.77567062,106.67087535,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.237,1786208368.238,TRACKING,0.063,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.06,10.77567062,106.67087535,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.338,1786208368.338,TRACKING,0.099,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.10,10.77567062,106.67087535,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.416,1786208368.417,TRACKING,0.126,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.13,10.77567062,106.67087578,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.506,1786208368.506,TRACKING,0.153,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.15,10.77567062,106.67087578,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.596,1786208368.596,TRACKING,0.189,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.19,10.77567062,106.67087578,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.689,1786208368.690,TRACKING,0.216,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.22,10.77567062,106.67087619,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.785,1786208368.785,TRACKING,0.243,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.24,10.77567062,106.67087619,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.876,1786208368.876,TRACKING,0.279,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.042,0.28,10.77567062,106.67087619,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:59:28.957,1786208368.958,TRACKING,0.306,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.083,0.31,10.77567062,106.67087660,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.033,1786208369.034,TRACKING,0.333,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.146,0.33,10.77567062,106.67087660,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.123,1786208369.123,TRACKING,0.369,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.187,0.37,10.77567062,106.67087660,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.202,1786208369.202,TRACKING,0.396,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.250,0.40,10.77567062,106.67087702,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.272,1786208369.273,TRACKING,0.423,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.312,0.42,10.77567062,106.67087702,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.367,1786208369.367,TRACKING,0.459,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.375,0.46,10.77567062,106.67087702,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.433,1786208369.434,TRACKING,0.477,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.417,0.48,10.77567062,106.67087743,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.525,1786208369.525,TRACKING,0.513,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.500,0.51,10.77567062,106.67087743,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.610,1786208369.610,TRACKING,0.540,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.562,0.54,10.77567062,106.67087743,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.699,1786208369.700,TRACKING,0.576,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.625,0.58,10.77567062,106.67087784,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.775,1786208369.775,TRACKING,0.603,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.687,0.60,10.77567062,106.67087784,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.858,1786208369.858,TRACKING,0.639,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.750,0.64,10.77567062,106.67087784,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:29.931,1786208369.931,TRACKING,0.666,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.833,0.67,10.77567062,106.67087825,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.020,1786208370.020,TRACKING,0.693,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.917,0.69,10.77567062,106.67087825,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.108,1786208370.108,TRACKING,0.729,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.73,10.77567062,106.67087825,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.185,1786208370.186,TRACKING,0.756,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.76,10.77567062,106.67087866,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.267,1786208370.267,TRACKING,0.783,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.78,10.77567062,106.67087866,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.337,1786208370.338,TRACKING,0.810,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.81,10.77567062,106.67087866,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.419,1786208370.420,TRACKING,0.837,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.84,10.77567062,106.67087907,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.492,1786208370.492,TRACKING,0.864,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.86,10.77567062,106.67087907,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.587,1786208370.587,TRACKING,0.909,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.91,10.77567062,106.67087907,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:59:30.656,1786208370.656,TRACKING,0.936,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.94,10.77567062,106.67087948,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:30.735,1786208370.736,TRACKING,0.963,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.96,10.77567062,106.67087948,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:30.824,1786208370.825,TRACKING,0.999,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.00,10.77567062,106.67087948,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:30.894,1786208370.894,TRACKING,1.026,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.03,10.77567062,106.67087990,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:30.967,1786208370.968,TRACKING,1.053,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.05,10.77567062,106.67087990,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.041,1786208371.041,TRACKING,1.080,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.08,10.77567062,106.67087990,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.113,1786208371.113,TRACKING,1.107,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.11,10.77567062,106.67088031,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.187,1786208371.188,TRACKING,1.134,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.13,10.77567062,106.67088031,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.282,1786208371.282,TRACKING,1.170,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,1.17,10.77567062,106.67088031,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.367,1786208371.367,TRACKING,1.197,0.000,0.000,0.00,0.450,-0.007,0.000,0.000,0.000,1.000,1.20,10.77567062,106.67088072,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.439,1786208371.439,TRACKING,1.224,-0.000,-0.000,0.01,0.450,-0.006,0.000,0.000,0.000,1.000,1.22,10.77567062,106.67088072,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.514,1786208371.515,TRACKING,1.251,-0.000,-0.001,0.00,0.450,0.003,0.000,0.000,0.000,1.000,1.25,10.77567062,106.67088072,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.602,1786208371.603,TRACKING,1.287,-0.000,-0.001,0.01,0.450,-0.005,0.000,0.000,0.000,1.000,1.29,10.77567062,106.67088113,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.689,1786208371.689,TRACKING,1.323,-0.000,-0.001,0.00,0.450,0.003,0.000,0.000,0.000,1.000,1.32,10.77567062,106.67088113,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
23:59:31.769,1786208371.770,TRACKING,1.341,-0.000,-0.001,-0.00,0.450,0.011,0.000,0.000,0.000,0.583,1.34,10.77567062,106.67088113,10.51,"10°46'32.41""N, 106°40'15.17""E",FIX,
