Time,Unix_Timestamp,FSM_State,Pos_X_m,Pos_Y_m,Yaw_rad,Steer_Angle_deg,Linear_Vel_mps,Angular_Vel_radps,IMU_Yaw_rad,IMU_Angular_Vel_z,IMU_Accel_x,Confidence,Dist_Traveled_m,GPS_Latitude,GPS_Longitude,GPS_Altitude_m,GPS_DMS,GPS_Status,Event
23:21:14.001,1786206074.002,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77566700,106.67088900,10.00,"10°46'32.40""N, 106°40'15.20""E",NO_FIX,
23:21:14.052,1786206074.052,TRACKING,0.005,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.01,10.77566700,106.67088905,10.00,"10°46'32.40""N, 106°40'15.20""E",ODOM_ESTIMATED,
23:21:14.154,1786206074.155,TRACKING,0.041,-0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.04,10.77567062,106.67087544,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:14.225,1786206074.225,TRACKING,0.068,-0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.07,10.77567062,106.67087544,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:14.342,1786206074.342,TRACKING,0.104,-0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.10,10.77567062,106.67087544,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:14.491,1786206074.492,TRACKING,0.131,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.13,10.77567062,106.67087586,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:14.667,1786206074.668,TRACKING,0.158,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.16,10.77567062,106.67087586,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:14.767,1786206074.767,TRACKING,0.194,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.19,10.77567062,106.67087586,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:14.837,1786206074.837,TRACKING,0.212,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.21,10.77567062,106.67087586,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:14.927,1786206074.928,TRACKING,0.248,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.25,10.77567062,106.67087627,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:15.003,1786206075.004,TRACKING,0.275,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.021,0.28,10.77567062,106.67087627,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:21:15.100,1786206075.100,TRACKING,0.311,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.083,0.31,10.77567062,106.67087668,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.229,1786206075.230,TRACKING,0.347,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.125,0.35,10.77567062,106.67087668,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.292,1786206075.292,TRACKING,0.365,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.167,0.37,10.77567062,106.67087668,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.373,1786206075.373,TRACKING,0.401,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.250,0.40,10.77567062,106.67087709,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.739,1786206075.740,TRACKING,0.419,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.292,0.42,10.77567062,106.67087709,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.773,1786206075.773,TRACKING,0.464,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.354,0.46,10.77567062,106.67087750,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.793,1786206075.793,TRACKING,0.473,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.417,0.47,10.77567062,106.67087750,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.806,1786206075.806,TRACKING,0.482,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.479,0.48,10.77567062,106.67087750,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.819,1786206075.820,TRACKING,0.491,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.542,0.49,10.77567062,106.67087750,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:15.868,1786206075.868,TRACKING,0.572,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.604,0.57,10.77567062,106.67087750,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:16.013,1786206076.013,TRACKING,0.608,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.667,0.61,10.77567062,106.67087791,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:16.051,1786206076.052,TRACKING,0.635,-0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.750,0.64,10.77567062,106.67087791,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:16.132,1786206076.133,TRACKING,0.662,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.833,0.66,10.77567062,106.67087791,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:16.201,1786206076.202,TRACKING,0.689,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.896,0.69,10.77567062,106.67087832,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:16.293,1786206076.294,TRACKING,0.725,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.979,0.73,10.77567062,106.67087832,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
23:21:16.371,1786206076.372,TRACKING,0.752,-0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,1.000,0.75,10.77567062,106.67087832,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
