Time,Unix_Timestamp,FSM_State,Pos_X_m,Pos_Y_m,Yaw_rad,Steer_Angle_deg,Linear_Vel_mps,Angular_Vel_radps,IMU_Yaw_rad,IMU_Angular_Vel_z,IMU_Accel_x,Confidence,Dist_Traveled_m,GPS_Latitude,GPS_Longitude,GPS_Altitude_m,GPS_DMS,GPS_Status,Event
13:59:29.999,1786172370.000,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.014,1786172370.015,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.026,1786172370.026,TRACKING,-0.000,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.096,1786172370.097,TRACKING,0.025,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.02,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.161,1786172370.161,TRACKING,0.052,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.05,10.77567062,106.67087545,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.228,1786172370.228,TRACKING,0.079,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.08,10.77567062,106.67087545,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.310,1786172370.311,TRACKING,0.115,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.11,10.77567062,106.67087545,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.380,1786172370.381,TRACKING,0.142,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.14,10.77567062,106.67087586,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.451,1786172370.452,TRACKING,0.169,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.17,10.77567062,106.67087586,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.542,1786172370.542,TRACKING,0.205,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.20,10.77567062,106.67087586,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.603,1786172370.603,TRACKING,0.232,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.23,10.77567062,106.67087627,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.678,1786172370.679,TRACKING,0.259,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.26,10.77567062,106.67087627,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.750,1786172370.751,TRACKING,0.286,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.062,0.29,10.77567062,106.67087627,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
13:59:30.823,1786172370.823,TRACKING,0.322,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.104,0.32,10.77567062,106.67087668,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
13:59:30.893,1786172370.893,TRACKING,0.349,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.167,0.35,10.77567062,106.67087668,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
13:59:30.963,1786172370.964,TRACKING,0.376,-0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.208,0.38,10.77567062,106.67087668,10.51,"10°46'32.41""N, 106°40'15.16""E",FIX,
