================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 09:54:21
 CSV Telemetry File : logs/telemetry_2026-08-09_09-54-21.csv
 Text System Log File: logs/system_run_2026-08-09_09-54-21.log
================================================================================
[09:54:21.854] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[09:54:24.808] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[09:54:25.729] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.34m, -0.00m) | Conf: 0.17 | GPS: (10.775671°, 106.670877° [FIX])
[09:54:26.998] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.82m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[09:54:28.223] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.30m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670881° [FIX])
[09:54:29.477] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.77m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670883° [FIX])
[09:54:30.733] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 2.25m,  0.00m) | Conf: 0.83 | GPS: (10.775671°, 106.670885° [FIX])
[09:54:31.987] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.71m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670887° [FIX])
[09:54:33.323] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.20m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[09:54:34.514] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 3.67m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670892° [FIX])
[09:54:35.698] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 4.14m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[09:54:36.944] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.06r/s) | Pose: ( 4.62m, -0.00m) | Conf: 0.77 | GPS: (10.775671°, 106.670896° [FIX])
[09:54:38.092] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.07m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670898° [FIX])
[09:54:39.269] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.04° (L) | Vel: (0.45m/s, +0.04r/s) | Pose: ( 5.54m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670900° [FIX])
[09:54:40.451] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 6.02m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670903° [FIX])
[09:54:41.692] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 6.49m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670905° [FIX])
[09:54:42.880] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, +0.08r/s) | Pose: ( 6.96m,  0.00m) | Conf: 0.65 | GPS: (10.775671°, 106.670907° [FIX])
[09:54:44.043] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 7.42m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670909° [FIX])
[09:54:45.303] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.03° (L) | Vel: (0.45m/s, +0.04r/s) | Pose: ( 7.89m,  0.00m) | Conf: 0.92 | GPS: (10.775671°, 106.670911° [FIX])
[09:54:46.509] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 8.36m,  0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670913° [FIX])
[09:54:51.280] [FSM_TRANSITION ] TRACKING -> UTURN_PLANNING
[09:54:51.351] [FSM_TRANSITION ] UTURN_PLANNING -> PATH_FOLLOWING
[09:54:51.354] [ SYSTEM_STATUS ] [STATUS] [UTURN_PLANNING ] | Steer:  +0.00° (C) | Vel: (0.00m/s, +0.00r/s) | Pose: (10.28m,  0.04m) | Conf: 0.00 | GPS: (10.775671°, 106.670922° [FIX])
[09:54:52.566] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  -3.62° (L) | Vel: (0.60m/s, +0.07r/s) | Pose: (10.68m,  0.33m) | Conf: 0.00 | GPS: (10.775671°, 106.670924° [FIX])
[09:54:52.725] [FSM_TRANSITION ] PATH_FOLLOWING -> UTURN_EXECUTION
[09:54:53.793] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.25m,  0.44m) | Conf: 0.00 | GPS: (10.775672°, 106.670927° [FIX])
[09:54:55.009] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.65m,  0.01m) | Conf: 0.00 | GPS: (10.775671°, 106.670930° [FIX])
[09:54:56.265] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.47m, -0.57m) | Conf: 0.00 | GPS: (10.775670°, 106.670932° [FIX])
[09:54:57.465] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.88m, -0.69m) | Conf: 0.00 | GPS: (10.775667°, 106.670933° [FIX])
[09:54:58.597] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.50m, -0.26m) | Conf: 0.00 | GPS: (10.775665°, 106.670934° [FIX])
[09:54:59.830] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.67m,  0.31m) | Conf: 0.00 | GPS: (10.775663°, 106.670935° [FIX])
[09:55:01.095] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.28m,  0.43m) | Conf: 0.00 | GPS: (10.775661°, 106.670935° [FIX])
[09:55:02.266] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.66m,  0.00m) | Conf: 0.00 | GPS: (10.775659°, 106.670935° [FIX])
[09:55:03.483] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.48m, -0.56m) | Conf: 0.00 | GPS: (10.775657°, 106.670935° [FIX])
[09:55:04.729] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.89m, -0.69m) | Conf: 0.00 | GPS: (10.775654°, 106.670935° [FIX])
[09:55:05.867] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.50m, -0.27m) | Conf: 0.00 | GPS: (10.775652°, 106.670935° [FIX])
[09:55:07.089] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.67m,  0.31m) | Conf: 0.00 | GPS: (10.775650°, 106.670935° [FIX])
[09:55:08.299] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.26m,  0.44m) | Conf: 0.00 | GPS: (10.775648°, 106.670935° [FIX])
[09:55:09.483] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.66m, -0.00m) | Conf: 0.00 | GPS: (10.775646°, 106.670935° [FIX])
[09:55:10.714] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.46m, -0.58m) | Conf: 0.00 | GPS: (10.775644°, 106.670935° [FIX])
[09:55:11.955] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.86m, -0.68m) | Conf: 0.00 | GPS: (10.775642°, 106.670935° [FIX])
[09:55:13.159] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.49m, -0.21m) | Conf: 0.00 | GPS: (10.775640°, 106.670935° [FIX])
[09:55:14.365] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.71m,  0.34m) | Conf: 0.00 | GPS: (10.775637°, 106.670935° [FIX])
[09:55:15.588] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.31m,  0.42m) | Conf: 0.00 | GPS: (10.775635°, 106.670935° [FIX])
[09:55:16.778] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.67m, -0.07m) | Conf: 0.00 | GPS: (10.775633°, 106.670935° [FIX])
[09:55:17.981] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.42m, -0.61m) | Conf: 0.00 | GPS: (10.775631°, 106.670935° [FIX])
[09:55:19.248] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.80m, -0.65m) | Conf: 0.00 | GPS: (10.775629°, 106.670935° [FIX])
[09:55:20.447] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.48m, -0.15m) | Conf: 0.00 | GPS: (10.775627°, 106.670935° [FIX])
[09:55:21.641] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.77m,  0.38m) | Conf: 0.00 | GPS: (10.775625°, 106.670935° [FIX])
[09:55:22.911] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.37m,  0.39m) | Conf: 0.00 | GPS: (10.775622°, 106.670935° [FIX])
[09:55:24.136] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.67m, -0.10m) | Conf: 0.00 | GPS: (10.775620°, 106.670935° [FIX])
[09:55:25.435] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.39m, -0.63m) | Conf: 0.00 | GPS: (10.775618°, 106.670935° [FIX])
[09:55:26.590] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.82m, -0.66m) | Conf: 0.00 | GPS: (10.775616°, 106.670935° [FIX])
[09:55:27.770] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.28° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.48m, -0.16m) | Conf: 0.00 | GPS: (10.775614°, 106.670935° [FIX])
[10:08:58.312] [FSM_TRANSITION ] UTURN_EXECUTION -> TRACKING
