================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 13:09:58
 CSV Telemetry File : logs/telemetry_2026-08-09_13-09-58.csv
 Text System Log File: logs/system_run_2026-08-09_13-09-58.log
================================================================================
[13:09:58.567] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[13:10:35.154] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: -73.97° | Vel: (0.25m/s, -1.50r/s) | Pose: (10.38m, -0.47m) | GPS: (10.775667°, 106.670930° [FIX])
[13:10:36.358] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: -73.97° | Vel: (0.25m/s, -1.50r/s) | Pose: (10.59m, -0.37m) | GPS: (10.775666°, 106.670930° [FIX])
[13:10:37.634] [FSM_TRANSITION ] UTURN_EXECUTION -> TRACKING
[13:10:37.637] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: -73.97° | Vel: (0.25m/s, -1.50r/s) | Pose: (10.70m, -0.57m) | GPS: (10.775665°, 106.670929° [FIX])
[13:10:38.933] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.57° | Vel: (0.45m/s, +0.00r/s) | Pose: (10.50m, -0.98m) | GPS: (10.775665°, 106.670927° [FIX])
[13:10:40.158] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.75° | Vel: (0.45m/s, -0.06r/s) | Pose: (10.27m, -1.40m) | GPS: (10.775664°, 106.670925° [FIX])
[13:10:41.426] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.68° | Vel: (0.45m/s, -0.08r/s) | Pose: (10.02m, -1.80m) | GPS: (10.775664°, 106.670923° [FIX])
[13:10:42.713] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.77° | Vel: (0.45m/s, -0.05r/s) | Pose: ( 9.74m, -2.19m) | GPS: (10.775663°, 106.670921° [FIX])
[13:10:43.957] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.72° | Vel: (0.45m/s, -0.06r/s) | Pose: ( 9.44m, -2.56m) | GPS: (10.775663°, 106.670919° [FIX])
[13:10:45.190] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.57° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 9.13m, -2.91m) | GPS: (10.775663°, 106.670916° [FIX])
[13:10:46.639] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.62° | Vel: (0.45m/s, -0.05r/s) | Pose: ( 8.80m, -3.25m) | GPS: (10.775663°, 106.670914° [FIX])
[13:10:47.880] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.37° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 8.45m, -3.58m) | GPS: (10.775663°, 106.670912° [FIX])
[13:10:49.120] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.48° | Vel: (0.45m/s, -0.04r/s) | Pose: ( 8.09m, -3.88m) | GPS: (10.775663°, 106.670910° [FIX])
[13:10:50.376] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.31° | Vel: (0.45m/s, -0.03r/s) | Pose: ( 7.72m, -4.18m) | GPS: (10.775663°, 106.670908° [FIX])
[13:10:51.600] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.30° | Vel: (0.45m/s, -0.02r/s) | Pose: ( 7.34m, -4.47m) | GPS: (10.775663°, 106.670906° [FIX])
[13:10:52.856] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.20° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 6.96m, -4.75m) | GPS: (10.775663°, 106.670904° [FIX])
[13:10:54.116] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.19° | Vel: (0.45m/s, -0.01r/s) | Pose: ( 6.57m, -5.03m) | GPS: (10.775663°, 106.670901° [FIX])
[13:10:55.346] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.06° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.18m, -5.30m) | GPS: (10.775663°, 106.670899° [FIX])
[13:10:56.566] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.03° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.79m, -5.57m) | GPS: (10.775663°, 106.670897° [FIX])
[13:10:57.929] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.01° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.40m, -5.84m) | GPS: (10.775663°, 106.670895° [FIX])
[13:10:59.191] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.03m, -6.10m) | GPS: (10.775663°, 106.670893° [FIX])
[13:11:00.588] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.64m, -6.37m) | GPS: (10.775663°, 106.670890° [FIX])
[13:11:02.004] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.25m, -6.64m) | GPS: (10.775663°, 106.670888° [FIX])
[13:11:03.331] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.86m, -6.91m) | GPS: (10.775663°, 106.670886° [FIX])
[13:11:04.534] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.49m, -7.17m) | GPS: (10.775663°, 106.670884° [FIX])
[13:11:05.840] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.11m, -7.43m) | GPS: (10.775664°, 106.670882° [FIX])
[13:11:07.104] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +0.00° | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.72m, -7.70m) | GPS: (10.775664°, 106.670880° [FIX])
