================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 00:37:46
 CSV Telemetry File : logs/telemetry_2026-08-09_00-37-46.csv
 Text System Log File: logs/system_run_2026-08-09_00-37-46.log
================================================================================
[00:37:46.780] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[00:37:47.260] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[00:37:48.431] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.45m, -0.00m) | Conf: 0.37 | GPS: (10.775671°, 106.670877° [FIX])
[00:37:49.671] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.93m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[00:37:50.878] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, -0.02r/s) | Pose: ( 1.40m, -0.00m) | Conf: 0.73 | GPS: (10.775671°, 106.670882° [FIX])
[00:37:52.067] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.85m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670884° [FIX])
[00:37:53.291] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, +0.02r/s) | Pose: ( 2.32m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[00:37:54.591] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.80m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[00:37:55.843] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.27m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[00:37:57.053] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, +0.02r/s) | Pose: ( 3.75m, -0.00m) | Conf: 0.58 | GPS: (10.775671°, 106.670892° [FIX])
[00:37:58.203] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.20m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[00:37:59.382] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 4.67m, -0.00m) | Conf: 0.90 | GPS: (10.775671°, 106.670896° [FIX])
[00:38:00.596] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.14m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670899° [FIX])
[00:38:01.763] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.13r/s) | Pose: ( 5.59m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670901° [FIX])
[00:38:02.950] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 6.06m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670903° [FIX])
[00:38:04.171] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 6.55m,  0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670905° [FIX])
[00:38:05.389] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 7.02m,  0.01m) | Conf: 0.77 | GPS: (10.775671°, 106.670907° [FIX])
[00:38:06.515] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 7.47m,  0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670909° [FIX])
[00:38:07.711] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 7.94m,  0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670912° [FIX])
[00:38:08.923] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 8.41m,  0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670914° [FIX])
[00:38:13.797] [FSM_TRANSITION ] TRACKING -> UTURN_PLANNING
[00:38:13.868] [FSM_TRANSITION ] UTURN_PLANNING -> PATH_FOLLOWING
[00:38:13.871] [ SYSTEM_STATUS ] [STATUS] [UTURN_PLANNING ] | Steer:  +0.00° (C) | Vel: (0.00m/s, +0.00r/s) | Pose: (10.29m,  0.04m) | Conf: 0.00 | GPS: (10.775671°, 106.670922° [FIX])
[00:38:15.074] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  -0.38° (L) | Vel: (0.35m/s, +0.00r/s) | Pose: (10.56m,  0.19m) | Conf: 0.00 | GPS: (10.775671°, 106.670924° [FIX])
[00:38:16.332] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +52.09° (R) | Vel: (0.33m/s, -0.74r/s) | Pose: (10.88m,  0.35m) | Conf: 0.00 | GPS: (10.775671°, 106.670925° [FIX])
[00:38:17.566] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +48.89° (R) | Vel: (0.34m/s, -0.67r/s) | Pose: (11.22m,  0.26m) | Conf: 0.00 | GPS: (10.775672°, 106.670927° [FIX])
[00:38:18.780] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +50.79° (R) | Vel: (0.34m/s, -0.71r/s) | Pose: (11.43m, -0.02m) | Conf: 0.00 | GPS: (10.775672°, 106.670928° [FIX])
[00:38:20.026] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +51.87° (R) | Vel: (0.33m/s, -0.74r/s) | Pose: (11.42m, -0.38m) | Conf: 0.00 | GPS: (10.775671°, 106.670930° [FIX])
[00:38:21.235] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +61.17° (R) | Vel: (0.32m/s, -1.01r/s) | Pose: (11.20m, -0.65m) | Conf: 0.00 | GPS: (10.775669°, 106.670931° [FIX])
[00:38:22.452] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +9.46° (R) | Vel: (0.35m/s, -0.10r/s) | Pose: (10.85m, -0.75m) | Conf: 0.00 | GPS: (10.775668°, 106.670932° [FIX])
[00:38:23.676] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +12.20° (R) | Vel: (0.35m/s, -0.13r/s) | Pose: (10.49m, -0.78m) | Conf: 0.00 | GPS: (10.775667°, 106.670932° [FIX])
[00:38:24.865] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.30° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: (10.14m, -0.79m) | Conf: 0.00 | GPS: (10.775665°, 106.670933° [FIX])
[00:38:26.115] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.42° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 9.77m, -0.80m) | Conf: 0.00 | GPS: (10.775664°, 106.670934° [FIX])
[00:38:27.345] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.75° (R) | Vel: (0.35m/s, -0.01r/s) | Pose: ( 9.40m, -0.80m) | Conf: 0.00 | GPS: (10.775662°, 106.670935° [FIX])
[00:38:28.504] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.02° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 9.05m, -0.80m) | Conf: 0.00 | GPS: (10.775661°, 106.670935° [FIX])
[00:38:29.694] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.02° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 8.69m, -0.80m) | Conf: 0.00 | GPS: (10.775659°, 106.670936° [FIX])
[00:38:30.905] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.03° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 8.32m, -0.80m) | Conf: 0.00 | GPS: (10.775658°, 106.670937° [FIX])
[00:38:32.132] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.04° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 7.94m, -0.80m) | Conf: 0.00 | GPS: (10.775656°, 106.670938° [FIX])
