================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-08 23:37:02
 CSV Telemetry File : logs/telemetry_2026-08-08_23-37-02.csv
 Text System Log File: logs/system_run_2026-08-08_23-37-02.log
================================================================================
[23:37:02.558] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[23:37:03.302] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775671°, 106.670875° [FIX])
[23:37:04.884] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.44m, -0.00m) | Conf: 0.33 | GPS: (10.775671°, 106.670877° [FIX])
[23:37:06.257] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.91m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[23:37:07.553] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 1.36m, -0.00m) | Conf: 0.60 | GPS: (10.775671°, 106.670881° [FIX])
[23:37:08.839] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.84m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670883° [FIX])
[23:37:10.183] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.30m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[23:37:11.422] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 2.75m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[23:37:12.763] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 3.22m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[23:37:14.070] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.70m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670892° [FIX])
[23:37:15.521] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.19m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[23:37:16.686] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.65m, -0.00m) | Conf: 0.85 | GPS: (10.775671°, 106.670897° [FIX])
[23:37:18.148] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 5.10m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670899° [FIX])
[23:37:19.817] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.58m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670901° [FIX])
[23:37:21.371] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 6.06m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670903° [FIX])
[23:37:23.122] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 6.53m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670905° [FIX])
