================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-08 23:40:47
 CSV Telemetry File : logs/telemetry_2026-08-08_23-40-47.csv
 Text System Log File: logs/system_run_2026-08-08_23-40-47.log
================================================================================
[23:40:47.528] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[23:40:50.266] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [NO_FIX])
[23:40:51.633] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.43m,  0.00m) | Conf: 0.33 | GPS: (10.775671°, 106.670877° [FIX])
[23:40:52.802] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.88m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[23:40:54.094] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 1.36m, -0.00m) | Conf: 0.60 | GPS: (10.775671°, 106.670881° [FIX])
[23:40:55.381] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.83m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670883° [FIX])
[23:40:56.665] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.31m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[23:40:57.966] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.79m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[23:40:59.261] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.26m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[23:41:00.623] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.73m, -0.00m) | Conf: 0.56 | GPS: (10.775671°, 106.670892° [FIX])
[23:41:01.878] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.21m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[23:41:03.127] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.69m, -0.00m) | Conf: 0.92 | GPS: (10.775671°, 106.670897° [FIX])
[23:41:04.380] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 5.16m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670899° [FIX])
[23:41:05.592] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.63m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670901° [FIX])
[23:41:06.891] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 6.11m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670903° [FIX])
[23:41:08.181] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 6.56m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670905° [FIX])
