================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 10:15:10
 CSV Telemetry File : logs/telemetry_2026-08-09_10-15-10.csv
 Text System Log File: logs/system_run_2026-08-09_10-15-10.log
================================================================================
[10:15:10.339] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[10:15:13.426] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [NO_FIX])
[10:15:14.638] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.43m,  0.00m) | Conf: 0.33 | GPS: (10.775671°, 106.670877° [FIX])
[10:15:15.811] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.88m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[10:15:17.024] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.03° (L) | Vel: (0.45m/s, +0.09r/s) | Pose: ( 1.36m, -0.00m) | Conf: 0.60 | GPS: (10.775671°, 106.670881° [FIX])
[10:15:18.278] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 1.84m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670884° [FIX])
[10:15:19.497] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 2.31m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[10:15:20.713] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.79m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[10:15:21.930] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.25m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[10:15:23.160] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 3.74m, -0.00m) | Conf: 0.56 | GPS: (10.775671°, 106.670892° [FIX])
[10:15:24.376] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.21m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[10:15:25.597] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.68m, -0.00m) | Conf: 0.92 | GPS: (10.775671°, 106.670897° [FIX])
[10:15:26.839] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 5.17m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670899° [FIX])
[10:15:28.062] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.03° (L) | Vel: (0.45m/s, +0.04r/s) | Pose: ( 5.64m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670901° [FIX])
[10:15:29.296] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.04r/s) | Pose: ( 6.11m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670903° [FIX])
[10:15:30.546] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 6.58m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670905° [FIX])
[10:15:31.690] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 7.03m,  0.00m) | Conf: 0.79 | GPS: (10.775671°, 106.670907° [FIX])
[10:15:32.895] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.06r/s) | Pose: ( 7.50m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670909° [FIX])
[10:15:34.083] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.05° (L) | Vel: (0.45m/s, -0.04r/s) | Pose: ( 7.96m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670912° [FIX])
[10:15:35.295] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 8.43m,  0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670914° [FIX])
[10:15:40.110] [FSM_TRANSITION ] TRACKING -> UTURN_PLANNING
[10:15:40.192] [FSM_TRANSITION ] UTURN_PLANNING -> PATH_FOLLOWING
[10:15:40.195] [ SYSTEM_STATUS ] [STATUS] [UTURN_PLANNING ] | Steer:  +0.00° (C) | Vel: (0.00m/s, +0.00r/s) | Pose: (10.31m,  0.04m) | Conf: 0.00 | GPS: (10.775671°, 106.670922° [FIX])
[10:15:41.435] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  -3.63° (L) | Vel: (0.60m/s, +0.07r/s) | Pose: (10.71m,  0.32m) | Conf: 0.00 | GPS: (10.775671°, 106.670925° [FIX])
[10:15:41.586] [FSM_TRANSITION ] PATH_FOLLOWING -> UTURN_EXECUTION
[10:15:42.643] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.26m,  0.44m) | Conf: 0.00 | GPS: (10.775672°, 106.670927° [FIX])
[10:15:43.789] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.67m,  0.04m) | Conf: 0.00 | GPS: (10.775671°, 106.670930° [FIX])
[10:15:45.013] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.53m, -0.54m) | Conf: 0.00 | GPS: (10.775670°, 106.670932° [FIX])
[10:15:46.225] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.95m, -0.70m) | Conf: 0.00 | GPS: (10.775668°, 106.670933° [FIX])
[10:15:47.442] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.53m, -0.28m) | Conf: 0.00 | GPS: (10.775665°, 106.670934° [FIX])
[10:15:48.691] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.70m,  0.30m) | Conf: 0.00 | GPS: (10.775663°, 106.670935° [FIX])
[10:15:49.906] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.29m,  0.43m) | Conf: 0.00 | GPS: (10.775661°, 106.670935° [FIX])
[10:15:51.163] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.68m, -0.02m) | Conf: 0.00 | GPS: (10.775659°, 106.670935° [FIX])
[10:15:52.390] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (11.47m, -0.59m) | Conf: 0.00 | GPS: (10.775657°, 106.670935° [FIX])
[10:15:53.731] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.87m, -0.68m) | Conf: 0.00 | GPS: (10.775655°, 106.670935° [FIX])
[10:15:55.007] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +44.34° (R) | Vel: (0.60m/s, -1.01r/s) | Pose: (10.51m, -0.19m) | Conf: 0.00 | GPS: (10.775653°, 106.670935° [FIX])
