================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 00:42:37
 CSV Telemetry File : logs/telemetry_2026-08-09_00-42-37.csv
 Text System Log File: logs/system_run_2026-08-09_00-42-37.log
================================================================================
[00:42:37.173] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[00:42:37.684] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[00:42:38.825] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.27m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670891° [ODOM_ESTIMATED])
[00:42:40.007] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.06r/s) | Pose: ( 0.73m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[00:42:41.256] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 1.21m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670881° [FIX])
[00:42:42.523] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 1.69m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670883° [FIX])
[00:42:43.651] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.07r/s) | Pose: ( 2.14m,  0.00m) | Conf: 0.58 | GPS: (10.775671°, 106.670885° [FIX])
[00:42:44.863] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.61m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670887° [FIX])
[00:42:45.990] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 3.06m, -0.00m) | Conf: 0.83 | GPS: (10.775671°, 106.670889° [FIX])
[00:42:47.161] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, +0.06r/s) | Pose: ( 3.52m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670891° [FIX])
[00:42:48.363] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, +0.03r/s) | Pose: ( 4.00m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670893° [FIX])
[00:42:49.512] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 4.45m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670895° [FIX])
[00:42:50.708] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, +0.05r/s) | Pose: ( 4.93m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670897° [FIX])
[00:42:51.872] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.03° (L) | Vel: (0.45m/s, -0.03r/s) | Pose: ( 5.38m, -0.01m) | Conf: 0.65 | GPS: (10.775671°, 106.670900° [FIX])
[00:42:53.085] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 5.85m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670902° [FIX])
[00:42:54.227] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 6.30m,  0.00m) | Conf: 0.94 | GPS: (10.775671°, 106.670904° [FIX])
[00:42:55.410] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 6.76m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670906° [FIX])
[00:42:56.568] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 7.21m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670908° [FIX])
[00:42:57.807] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.11° (L) | Vel: (0.45m/s, +0.27r/s) | Pose: ( 7.68m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670910° [FIX])
[00:42:59.025] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 8.16m,  0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670912° [FIX])
[00:43:00.229] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 8.64m,  0.01m) | Conf: 0.00 | GPS: (10.775671°, 106.670915° [FIX])
[00:43:04.424] [FSM_TRANSITION ] TRACKING -> UTURN_PLANNING
[00:43:04.480] [FSM_TRANSITION ] UTURN_PLANNING -> PATH_FOLLOWING
[00:43:04.482] [ SYSTEM_STATUS ] [STATUS] [UTURN_PLANNING ] | Steer:  +0.00° (C) | Vel: (0.00m/s, +0.00r/s) | Pose: (10.31m,  0.03m) | Conf: 0.00 | GPS: (10.775671°, 106.670922° [FIX])
[00:43:05.690] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +40.47° (R) | Vel: (0.34m/s, -0.50r/s) | Pose: (10.58m,  0.19m) | Conf: 0.00 | GPS: (10.775671°, 106.670924° [FIX])
[00:43:06.897] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +55.63° (R) | Vel: (0.33m/s, -0.83r/s) | Pose: (10.91m,  0.29m) | Conf: 0.00 | GPS: (10.775671°, 106.670925° [FIX])
[00:43:08.056] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +44.44° (R) | Vel: (0.34m/s, -0.58r/s) | Pose: (11.21m,  0.14m) | Conf: 0.00 | GPS: (10.775672°, 106.670927° [FIX])
[00:43:09.263] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +50.64° (R) | Vel: (0.34m/s, -0.71r/s) | Pose: (11.34m, -0.17m) | Conf: 0.00 | GPS: (10.775671°, 106.670928° [FIX])
[00:43:10.478] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +50.76° (R) | Vel: (0.34m/s, -0.71r/s) | Pose: (11.25m, -0.51m) | Conf: 0.00 | GPS: (10.775670°, 106.670929° [FIX])
[00:43:11.705] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer: +35.52° (R) | Vel: (0.34m/s, -0.42r/s) | Pose: (10.96m, -0.72m) | Conf: 0.00 | GPS: (10.775669°, 106.670930° [FIX])
[00:43:12.911] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +4.15° (R) | Vel: (0.35m/s, -0.04r/s) | Pose: (10.60m, -0.77m) | Conf: 0.00 | GPS: (10.775668°, 106.670931° [FIX])
[00:43:14.094] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +3.61° (R) | Vel: (0.35m/s, -0.04r/s) | Pose: (10.24m, -0.79m) | Conf: 0.00 | GPS: (10.775666°, 106.670932° [FIX])
[00:43:15.245] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.50° (R) | Vel: (0.35m/s, -0.01r/s) | Pose: ( 9.89m, -0.80m) | Conf: 0.00 | GPS: (10.775665°, 106.670933° [FIX])
[00:43:16.475] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.50° (R) | Vel: (0.35m/s, -0.01r/s) | Pose: ( 9.52m, -0.80m) | Conf: 0.00 | GPS: (10.775663°, 106.670933° [FIX])
[00:43:17.621] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.07° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 9.16m, -0.80m) | Conf: 0.00 | GPS: (10.775662°, 106.670934° [FIX])
[00:43:18.829] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.01° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 8.81m, -0.80m) | Conf: 0.00 | GPS: (10.775660°, 106.670935° [FIX])
[00:43:19.950] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.02° (R) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 8.46m, -0.80m) | Conf: 0.00 | GPS: (10.775659°, 106.670936° [FIX])
[00:43:21.135] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 8.09m, -0.80m) | Conf: 0.00 | GPS: (10.775657°, 106.670936° [FIX])
[00:43:22.361] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.00° (C) | Vel: (0.35m/s, -0.00r/s) | Pose: ( 7.72m, -0.80m) | Conf: 0.00 | GPS: (10.775656°, 106.670937° [FIX])
