================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-08 10:13:17
 CSV Telemetry File : logs/telemetry_2026-08-08_10-13-17.csv
 Text System Log File: logs/system_run_2026-08-08_10-13-17.log
================================================================================
[10:13:17.309] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[10:13:57.792] [ SYSTEM_STATUS ] [STATUS] [PATH_FOLLOWING ] | Steer:  +0.02° (R) | Vel: (0.25m/s, -0.00r/s) | Pose: (10.69m, -0.59m) | Conf: 0.00 | GPS: (10.775669°, 106.670928° [FIX])
[10:13:57.963] [FSM_TRANSITION ] PATH_FOLLOWING -> UTURN_EXECUTION
[10:13:59.270] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +73.97° (R) | Vel: (0.25m/s, -1.50r/s) | Pose: (10.48m, -0.67m) | Conf: 0.00 | GPS: (10.775668°, 106.670929° [FIX])
[10:14:00.589] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +73.97° (R) | Vel: (0.25m/s, -1.50r/s) | Pose: (10.38m, -0.46m) | Conf: 0.00 | GPS: (10.775667°, 106.670930° [FIX])
[10:14:02.042] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +73.97° (R) | Vel: (0.25m/s, -1.50r/s) | Pose: (10.59m, -0.35m) | Conf: 0.00 | GPS: (10.775666°, 106.670930° [FIX])
[10:14:03.364] [FSM_TRANSITION ] UTURN_EXECUTION -> TRACKING
[10:14:03.367] [ SYSTEM_STATUS ] [STATUS] [UTURN_EXECUTION] | Steer: +73.97° (R) | Vel: (0.25m/s, -1.50r/s) | Pose: (10.70m, -0.54m) | Conf: 0.83 | GPS: (10.775665°, 106.670929° [FIX])
[10:14:04.739] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.52° (R) | Vel: (0.45m/s, -0.11r/s) | Pose: (10.51m, -0.96m) | Conf: 1.00 | GPS: (10.775664°, 106.670927° [FIX])
[10:14:06.249] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.41° (R) | Vel: (0.45m/s, -0.09r/s) | Pose: (10.25m, -1.35m) | Conf: 0.83 | GPS: (10.775664°, 106.670925° [FIX])
[10:14:07.672] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.28° (R) | Vel: (0.45m/s, -0.06r/s) | Pose: ( 9.95m, -1.72m) | Conf: 1.00 | GPS: (10.775664°, 106.670923° [FIX])
[10:14:09.097] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.21° (R) | Vel: (0.45m/s, -0.05r/s) | Pose: ( 9.62m, -2.07m) | Conf: 1.00 | GPS: (10.775664°, 106.670921° [FIX])
[10:14:10.624] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.13° (R) | Vel: (0.45m/s, -0.03r/s) | Pose: ( 9.28m, -2.40m) | Conf: 0.56 | GPS: (10.775664°, 106.670919° [FIX])
[10:14:12.093] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.08° (R) | Vel: (0.45m/s, -0.02r/s) | Pose: ( 8.93m, -2.72m) | Conf: 1.00 | GPS: (10.775664°, 106.670917° [FIX])
[10:14:13.353] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.05° (R) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 8.60m, -3.02m) | Conf: 0.87 | GPS: (10.775663°, 106.670915° [FIX])
[10:14:14.812] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.04° (R) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 8.24m, -3.32m) | Conf: 1.00 | GPS: (10.775663°, 106.670913° [FIX])
