================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 09:43:30
 CSV Telemetry File : logs/telemetry_2026-08-09_09-43-30.csv
 Text System Log File: logs/system_run_2026-08-09_09-43-30.log
================================================================================
[09:43:30.468] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[09:43:30.672] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: (-0.00m,  0.00m) | Conf: 0.00 | GPS: (10.775667°, 106.670889° [ODOM_ESTIMATED])
[09:43:31.985] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.43m, -0.00m) | Conf: 0.33 | GPS: (10.775671°, 106.670877° [FIX])
[09:43:33.330] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 0.91m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670879° [FIX])
[09:43:34.526] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.08° (L) | Vel: (0.45m/s, +0.17r/s) | Pose: ( 1.38m, -0.00m) | Conf: 0.67 | GPS: (10.775671°, 106.670881° [FIX])
[09:43:35.661] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.02° (L) | Vel: (0.45m/s, +0.05r/s) | Pose: ( 1.83m,  0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670883° [FIX])
[09:43:36.949] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.01° (R) | Vel: (0.45m/s, +0.01r/s) | Pose: ( 2.30m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670886° [FIX])
[09:43:38.198] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 2.77m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670888° [FIX])
[09:43:39.417] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 3.25m, -0.00m) | Conf: 1.00 | GPS: (10.775671°, 106.670890° [FIX])
[09:43:40.685] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 3.73m, -0.01m) | Conf: 0.67 | GPS: (10.775671°, 106.670892° [FIX])
[09:43:41.896] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.19m, -0.01m) | Conf: 1.00 | GPS: (10.775671°, 106.670894° [FIX])
[09:43:43.026] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 4.64m, -0.01m) | Conf: 0.83 | GPS: (10.775671°, 106.670896° [FIX])
