Time,Unix_Timestamp,FSM_State,Pos_X_m,Pos_Y_m,Yaw_rad,Steer_Angle_deg,Linear_Vel_mps,Angular_Vel_radps,IMU_Yaw_rad,IMU_Angular_Vel_z,IMU_Accel_x,Confidence,Dist_Traveled_m,GPS_Latitude,GPS_Longitude,GPS_Altitude_m,GPS_DMS,GPS_Status,Event
23:33:14.603,1786206794.603,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:14.619,1786206794.619,TRACKING,0.000,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.00,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:14.676,1786206794.676,TRACKING,0.016,0.000,0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.02,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:14.756,1786206794.757,TRACKING,0.043,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.04,10.77567062,106.67087529,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:14.938,1786206794.939,TRACKING,0.097,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.10,10.77567062,106.67087565,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:14.952,1786206794.952,TRACKING,0.097,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.10,10.77567062,106.67087565,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:14.992,1786206794.992,TRACKING,0.124,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.12,10.77567062,106.67087565,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:15.076,1786206795.077,TRACKING,0.160,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.16,10.77567062,106.67087565,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:15.159,1786206795.159,TRACKING,0.196,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.20,10.77567062,106.67087606,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
23:33:15.231,1786206795.232,TRACKING,0.223,0.000,-0.000,0.00,0.450,-0.000,0.000,0.000,0.000,0.000,0.22,10.77567062,106.67087606,10.51,"10°46'32.41""N, 106°40'15.15""E",FIX,
