================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-09 12:51:50
 CSV Telemetry File : logs/telemetry_2026-08-09_12-51-50.csv
 Text System Log File: logs/system_run_2026-08-09_12-51-50.log
================================================================================
[12:51:50.537] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[12:52:22.786] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +16.40° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.69m, -0.07m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:24.005] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +14.36° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.40m,  0.07m) | Conf: 1.00 | GPS: (10.775673°, 106.670925° [FIX])
[12:52:25.132] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +14.30° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.71m, -0.00m) | Conf: 1.00 | GPS: (10.775673°, 106.670925° [FIX])
[12:52:26.363] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +14.40° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.39m,  0.01m) | Conf: 1.00 | GPS: (10.775673°, 106.670925° [FIX])
[12:52:27.490] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +14.55° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.70m,  0.06m) | Conf: 1.00 | GPS: (10.775673°, 106.670925° [FIX])
[12:52:28.707] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +14.74° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.40m, -0.05m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:29.912] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +14.93° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.67m,  0.12m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:31.007] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +15.08° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.47m, -0.13m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:32.215] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +15.26° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.62m,  0.15m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:33.321] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +15.45° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.53m, -0.15m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:34.541] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +15.65° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.55m,  0.17m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:35.769] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +15.85° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.55m, -0.15m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:36.993] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +16.06° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.53m,  0.17m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:38.116] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +16.25° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.61m, -0.14m) | Conf: 1.00 | GPS: (10.775672°, 106.670925° [FIX])
[12:52:39.342] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer: +16.48° (R) | Vel: (0.45m/s, -2.80r/s) | Pose: (10.47m,  0.15m) | Conf: 1.00 | GPS: (10.775671°, 106.670925° [FIX])
